time,voltage
0.0,0.0248755187582141
5e-06,0.0743786271736239
1e-05,0.1233879359169524
1.5000000000000002e-05,0.1719075456427493
2e-05,0.2199415243242118
2.5e-05,0.2674939075109094
3.0000000000000004e-05,0.314568698584481
3.5000000000000004e-05,0.3611698690123218
4e-05,0.4073013585992752
4.5e-05,0.4529670757373455
5e-05,0.498170897653446
5.5e-05,0.5429166706552003
6.000000000000001e-05,0.5872082103748087
6.500000000000001e-05,0.631049302010999
7.000000000000001e-05,0.6744437005690722
7.500000000000001e-05,0.7173951310990625
8e-05,0.7599072889320225
8.5e-05,0.801983839914452
9e-05,0.8436284206408815
9.5e-05,0.8848446386846274
0.0001,0.925636072826732
0.000105,0.9660062732831044
0.00011,1.0059587619298718
0.000115,1.045497032526963
0.00012,1.0846245509399293
0.000125,1.123344755360023
0.00013,1.1616610565225447
0.000135,1.1995768379234726
0.00014,1.23709545603439
0.000145,1.2742202405157186
0.00015,1.3109544944282798
0.000155,1.347301494443188
0.00016,1.383264491050094
0.000165,1.4188467087637917
0.00017,1.4540513463291982
0.000175,1.4888815769247234
0.00018,1.5233405483640392
0.000185,1.5574313832962596
0.00019,1.5911571794045514
0.000195,1.624521009603176
0.0002,1.657525922232988
0.000205,1.6901749412553926
0.00021,1.7224710664447749
0.000215,1.754417273579421
0.00022,1.7860165146309357
0.000225,1.8172717179521665
0.00023,1.8481857884636543
0.000235,1.878761607838616
0.00024,1.909002034686468
0.000245,1.9389099047349128
0.00025,1.968488031010592
0.000255,1.997739204018309
0.00026,2.026666191918856
0.000265,2.0552717407054315
0.00027,2.083558574378676
0.000275,2.111529395120326
0.00028,2.139186883465508
0.000285,2.166533698473672
0.00029,2.19357247789818
0.000295,2.220305838354564
0.0003,2.246736375487459
0.000305,2.2728666641362234
0.00031,2.2986992584992523
0.000315,2.324236692297005
0.00032,2.349481478933744
0.000325,2.3744361116580026
0.00033,2.3991030637217965
0.000335,2.423484788538573
0.00034,2.447583719839922
0.000345,2.471402271831059
0.00035,2.4949428393450748
0.000355,2.518207797995981
0.00036,2.541199504330544
0.000365,2.563920295978931
0.00037,2.5863724918041666
0.000375,2.608558392050413
0.00038,2.630480278490086
0.000385,2.652140414569814
0.00039,2.673541045555245
0.000395,2.694684398674717
0.0004,2.715572683261797
0.000405,2.7362080908966995
0.00041,2.756592795546592
0.000415,2.7767289537047963
0.00042,2.796618704528891
0.000425,2.816264169977734
0.00043,2.835667454947404
0.000435,2.8548306474060685
0.00044,2.8737558185277963
0.000445,2.892445022825315
0.00045,2.910900298281719
0.000455,2.929123666481154
0.00046,2.947117132738456
0.000465,2.9648826862277806
0.00047,2.982422300110225
0.000475,2.9997379316604302
0.00048,3.0168315223922018
0.000485,3.033704998183132
0.00049,3.050360269398249
0.000495,3.066799231012684
0.0005,3.0830237627333843
0.000505,3.09903572911986
0.00051,3.114836979703978
0.000515,3.1304293491088284
0.00052,3.1458146571666363
0.000525,3.160994709035758
0.00053,3.175971295316752
0.000535,3.190746192167536
0.00054,3.205321161417645
0.000545,3.219697950681577
0.00055,3.233878293471257
0.000555,3.247863909307611
0.00056,3.2616565038312646
0.000565,3.27525776891237
0.00057,3.288669382759566
0.000575,3.3018930100280817
0.00058,3.314930301926991
0.000585,3.32778289632562
0.00059,3.34045241785912
0.000595,3.3529404780332053
0.0006,3.365248675328075
0.000605,3.377378595301504
0.00061,3.3893318106911305
0.000615,3.401109881515943
0.00062,3.412714355176956
0.000625,3.424146766557103
0.00063,3.435408638120339
0.000635,3.446501480009966
0.00064,3.4574267901461786
0.000645,3.46818605432285
0.00065,3.478780746303547
0.000655,3.489212327916796
0.00066,3.499482249150596
0.000665,3.509591948246188
0.00067,3.5195428517910887
0.000675,3.529336374811385
0.00068,3.538973920863312
0.000685,3.5484568821240967
0.00069,3.557786639482102
0.000695,3.566964562626247
0.0007,3.5759920101347347
0.000705,3.5848703295630697
0.00071,3.593600857531393
0.000715,3.6021849198111235
0.00072,3.610623831410922
0.000725,3.618918896661968
0.00073,3.6270714093025807
0.000735,3.63508265256216
0.00074,3.642953899244473
0.000745,3.650686411810282
0.00075,3.658281442459329
0.000755,3.6657402332116615
0.00076,3.673064015988328
0.000765,3.680254012691439
0.00077,3.687311435283588
0.000775,3.694237485866654
0.00078,3.7010333567599902
0.000785,3.707700230577979
0.00079,3.714239280306989
0.000795,3.720651669381728
0.0008,3.7269385517609854
0.000805,3.733101072002784
0.00081,3.739140365338938
0.000815,3.745057557749026
0.00082,3.750853766033777
0.000825,3.756530097887886
0.00083,3.762087651972245
0.000835,3.767527517985616
0.00084,3.7728507767357335
0.000845,3.778058500209847
0.00085,3.7831517516447137
0.000855,3.788131585596026
0.00086,3.792999048007316
0.000865,3.7977551762782857
0.00087,3.802400999332629
0.000875,3.806937537685302
0.00088,3.8113658035092657
0.000885,3.815686800701709
0.00089,3.819901524949741
0.000895,3.8240109637955775
0.0009,3.8280160967012007
0.000905,3.8319178951125217
0.00091,3.835717322523028
0.000915,3.839415334536933
0.00092,3.8430128789318334
0.000925,3.846510895720866
0.00093,3.84991031721437
0.000935,3.85321206808108
0.00094,3.856417065408823
0.000945,3.85952621876474
0.00095,3.8625404302550375
0.000955,3.865460594584264
0.00096,3.868287599114117
0.000965,3.871022323921796
0.00097,3.8736656418578863
0.000975,3.8762184186037913
0.00098,3.878681512728709
0.000985,3.8810557757461663
0.00099,3.8833420521700974
0.000995,3.885541179570493
0.001,3.887653988628596
0.001005,3.8896813031916766
0.00101,3.891623940327365
0.001015,3.893482710377565
